numero_vuelo,aeropuerto_origen,hora_llegada_programada_utc,hora_llegada_local
LG9471,Findel,2025-09-27 08:00:00+00:00,10:00:00
PC5067,Antalya,2025-09-27 08:35:00+00:00,10:35:00
PC1611,Carsamba,2025-09-27 08:40:00+00:00,10:40:00
FR2528,Barajas,2025-09-27 08:55:00+00:00,10:55:00
AC9117,Frankfurt International Airport,2025-09-27 08:55:00+00:00,10:55:00
ET1579,Frankfurt International Airport,2025-09-27 08:55:00+00:00,10:55:00
TG7610,Frankfurt International Airport,2025-09-27 08:55:00+00:00,10:55:00
UA8990,Frankfurt International Airport,2025-09-27 08:55:00+00:00,10:55:00
PQ701,International Airport Chisinau,2025-09-26 15:40:00+00:00,17:40:00
U2,Son Sant Joan Airport,2025-09-26 08:45:00+00:00,10:45:00
1I,Hamburg Airport,2025-09-26 14:25:00+00:00,16:25:00
EW8005,Stuttgart Echterdingen,2025-09-26 17:20:00+00:00,19:20:00
U25144,Cote D'azur International Airport,2025-09-26 17:20:00+00:00,19:20:00
U24077,Marco Polo,2025-09-26 17:45:00+00:00,19:45:00
U25010,Souda,2025-09-26 18:10:00+00:00,20:10:00
LO389,Frederic Chopin,2025-09-26 18:20:00+00:00,20:20:00
BZ272,Ben Gurion International,2025-09-26 18:30:00+00:00,20:30:00
U25072,Linate,2025-09-26 18:35:00+00:00,20:35:00
PC5007,Antalya,2025-09-26 18:40:00+00:00,20:40:00
DX125,Ensheim,2025-09-26 19:15:00+00:00,21:15:00
DX,Ensheim,2025-09-26 19:15:00+00:00,21:15:00
AM5719,Charles De Gaulle,2025-09-26 19:20:00+00:00,21:20:00
DL8680,Charles De Gaulle,2025-09-26 19:20:00+00:00,21:20:00
KE6355,Charles De Gaulle,2025-09-26 19:20:00+00:00,21:20:00
MK9682,Charles De Gaulle,2025-09-26 19:20:00+00:00,21:20:00
AF1534,Charles De Gaulle,2025-09-26 19:20:00+00:00,21:20:00
,Mandelieu,2025-09-26 21:30:00+00:00,23:30:00
SR4853,Diagoras,2025-09-26 21:35:00+00:00,23:35:00
LX4408,Zurich,2025-09-26 21:55:00+00:00,23:55:00
EW8763,Zurich,2025-09-26 21:55:00+00:00,23:55:00
SR151,Beirut Rafic Hariri Airport,2025-09-26 22:15:00+00:00,00:15:00
U25184,Geneve-cointrin,2025-09-26 22:35:00+00:00,00:35:00
